# bigloo.bmem bigloo_flt1.bmem bigloo_fltnz.bmem bigloo_flt.bmem bigloo_nan.bmem bigloo_nun.bmem
compiler, 1.000005427460675, 1.0000015757143894, 0.9999950977774549, 1.0000087539688307, 0.9999880946023904
dynamic, 1.000283446712018, 1.0005668934240364, 1.000283446712018, 0.9971655328798186, 0.9997165532879818
earley, 0.9997588618278274, 1, 1.0002411381721728, 0.9799855317096696, 0.9992765854834821
graphs, 0.9999993719446415, 0.9999997906482139, 0.9999993719446415, 0.999998743889283, 0.9999989532410692
matrix, 1.0000098146984924, 1.0000049073492463, 1.0000049073492463, 0.999980370603015, 0.9999950926507538
maze, 1.0000274363476733, 1.0000274363476733, 1.0000274363476733, 0.999862818261633, 0.9999725636523266
nboyer, 1.000709939148073, 1.0026369168356999, 1.000101419878296, 0.9853955375253549, 1.0005070993914806
parsing, 1.0000959324635457, 1.0000959324635457, 1.0000959324635457, 0.9993284727551803, 0.9999040675364543
peval, 0.9998622779231511, 1, 1, 0.9990359454620575, 0.9998622779231511
sboyer, 1.0004789272030652, 1.0004789272030652, 1.0014367816091954, 1.003831417624521, 1.0009578544061302
scheme, 1.0000061959020303, 1.0000123918040609, 1.0000061959020303, 0.9998389065472096, 0.9999628245878176
slatex, 1.006896551724138, 1.006896551724138, 1.006896551724138, 0.9586206896551724, 0.9931034482758621
fft, 0.3338538413491568, 0.3338538413491568, 0.3338538413491568, 0.3338213095981678, 0.3338408286487612
fibfp, 0.0000301171290580986, 0.0000301171290580986, 0.0000301171290580986, 0.00002864079920230945, 0.00002952659711578294
mbrot, 0.004855839631057176, 0.004855839631057176, 0.004855839631057176, 0.004849527881103462, 0.004853735714405938
nucleic, 0.3276844239049484, 0.3276844239049484, 0.3276794917954358, 0.32764989913836046, 0.3276696275764107
pnpoly, 0.0542267542411393, 0.0542267542411393, 0.0542267542411393, 0.05421858091430103, 0.05422348491040399
ray, 0.01901497687058213, 0.02020961512037984, 0.01901497687058213, 0.018995893192470345, 0.019007343399337413
simplex, 0.8280381125817047, 0.8280381125817047, 0.8280381125817047, 0.8279568144125394, 0.8280055933140386
sumfp, 0.00013054579661732804, 0.00013054579661732804, 0.00013054579661732804, 0.00012414649286157667, 0.0001279860751150275
sum1, 0.005887482257992655, 0.005887482257992655, 0.005887482257992655, 0.005855658029571073, 0.0058747525666240225

