#  / 
compiler,  1.0665353056133633, 1.0652955371620418, 1.0677765168810294
dynamic,  1.0145262877810612, 1.013704332606743, 1.0153489094320698
earley,  0.8826902045850324, 0.8823786945760544, 0.8830018245677511
graphs,  1.0858034632650255, 1.0848824168555584, 1.0867252916269652
matrix,  1.0161845947117483, 1.0147402854797198, 1.0176309596709294
maze,  1.1207560239388739, 1.1201333628567833, 1.1213790311465561
nboyer,  1.0142719496150128, 1.0139759740807348, 1.0145680115433664
parsing,  1.0513144924546505, 1.051069704440154, 1.05155933747885
peval,  1.00819491536649, 1.0073131619053535, 1.0090774406721685
sboyer,  1.058332360550745, 1.0580596057265652, 1.0586051856877823
scheme,  0.9903562768804801, 0.9899900975633512, 0.9907225916406732
slatex,  1.0945342989904112, 1.0488479928891068, 1.1422106347045222
fft,  0.6919090884387258, 0.6915771583990621, 0.6922411777918513
fibfp,  0.3216575862956578, 0.3212589332536644, 0.32205673402972496
mbrot,  0.22676804619157473, 0.22653088615628197, 0.2270054545147866
nucleic,  0.3963427683763834, 0.3960897826463125, 0.3965959156904749
pnpoly,  0.7413940879346507, 0.7407916641542921, 0.7419970016157852
ray,  0.2818620306186388, 0.28157057411905373, 0.28215378880774317
simplex,  0.6044749978040758, 0.604016832368514, 0.6049335107722807
sumfp,  0.19321335441846968, 0.19304230865161673, 0.1933845517409819
sum1,  0.8628988214635482, 0.8627153930033292, 0.8630822889238828
